 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
 938.31988    0.244318E-03    0.902271E-03    0.135215E+00    0.462879E-01
 938.51815    0.273430E-03    0.992049E-03    0.148695E+00    0.466535E-01
 938.69321    0.305923E-03    0.109076E-02    0.163519E+00    0.470784E-01
 938.92346    0.342419E-03    0.119929E-02    0.179822E+00    0.473521E-01
 939.09286    0.382678E-03    0.131863E-02    0.197750E+00    0.472217E-01
 939.31044    0.426364E-03    0.144983E-02    0.217467E+00    0.468070E-01
 939.49844    0.473381E-03    0.159410E-02    0.239151E+00    0.437665E-01
 939.63745    0.513574E-03    0.175271E-02    0.262996E+00    0.351583E-01
 939.73676    0.535268E-03    0.192711E-02    0.289217E+00    0.284640E-01
 939.77910    0.558179E-03    0.211887E-02    0.318049E+00    0.277917E-01
 939.87126    0.582025E-03    0.232970E-02    0.349752E+00    0.271561E-01
 939.92085    0.607266E-03    0.256151E-02    0.384613E+00    0.269534E-01
 939.98515    0.635198E-03    0.281638E-02    0.422944E+00    0.268959E-01
 940.06190    0.665485E-03    0.309662E-02    0.465093E+00    0.269414E-01
 940.10808    0.699431E-03    0.340474E-02    0.511439E+00    0.271478E-01
 940.19629    0.737200E-03    0.374353E-02    0.562400E+00    0.273286E-01
 940.24612    0.779341E-03    0.411601E-02    0.618436E+00    0.276323E-01
 940.32150    0.827032E-03    0.452557E-02    0.680051E+00    0.279312E-01
 940.39477    0.880267E-03    0.497588E-02    0.747803E+00    0.282693E-01
 940.45570    0.940712E-03    0.547099E-02    0.822302E+00    0.286560E-01
 940.54699    0.100871E-02    0.601536E-02    0.904220E+00    0.290224E-01
 940.60678    0.108558E-02    0.661391E-02    0.994296E+00    0.294505E-01
 940.69602    0.117274E-02    0.727201E-02    0.109334E+01    0.298657E-01
 940.77302    0.127107E-02    0.799559E-02    0.120226E+01    0.302927E-01
 940.85066    0.138258E-02    0.879118E-02    0.132201E+01    0.307440E-01
 940.94868    0.150874E-02    0.966592E-02    0.145370E+01    0.311821E-01
 941.02186    0.165142E-02    0.106277E-01    0.159851E+01    0.316422E-01
 941.12646    0.181314E-02    0.116852E-01    0.175773E+01    0.321141E-01
 941.21076    0.199621E-02    0.128479E-01    0.193282E+01    0.326127E-01
